"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,bam_survey,,text,"Record ID",,,,,,,,,,,,,
consentversion,consent_form,,descriptive,"HS IRBs #: 2020-0420
Lead Researcher: Katherine Schaumberg; (608-263-6109)
Version: 1/04/2021
",,,,,,,,,,,,,
consenttext,consent_form,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: center;""> </p> <p style=""text-align: center;""><span style=""font-weight: normal;"">University of Wisconsin-Madison Consent to Participate in Research and</span></p> <p style=""text-align: center;""><span style=""font-weight: normal;"">Authorization to Use Protected Health Information for Research</span></p> <p style=""text-align: center;""><span style=""font-weight: normal;""><strong> </strong></span></p> <p><span style=""font-weight: normal;""><strong>Study title: </strong>Body Advocacy Movement</span></p> <p><span style=""font-weight: normal;""><strong>Researcher[s]: </strong>Katherine Schaumberg, Ph. D (608-263-6109)</span></p> <p> </p> <p><span style=""font-weight: normal;"">We invite you to take part in a research study about help us understand how useful the BAM peer groups are to students. We are inviting you because you have enrolled in our BAM peer groups.</span></p> <p> </p> <p><span style=""font-weight: normal;"">The purpose of this consent and authorization form is to give you the information you need to decide whether to be in the study. It also explains how health information will be used for this study and for other research in the future and requests your authorization (permission) to use your health information.</span></p> <p> </p> <p style=""margin-top: .05pt;"">Why are researchers doing this study?</p> <p><span style=""font-weight: normal;"">The purpose of the current study is to evaluate and compare the effectiveness of two different versions of the Body Advocacy Movement (BAM) Program. Whether or not they participate in the study, everyone who enrolls in our BAM peer groups will be randomly assigned to one of two versions of the BAM program. Both versions include discussions and activities that support a positive body image and promote body acceptance for yourself and others; however, the specific discussions and activities differ between the two versions.</span></p> <p> </p> <p style=""margin-top: .05pt;"">What will happen in this study?</p> <p><span style=""font-weight: normal;"">If you agree to participate in this study, you will be asked to complete a series of three online assessments and two online behavioral tasks in which you will provide information about your body image, stress, and mental health. Each assessment will last about 20 minutes and tasks about 1 hour. You will be asked to complete the first assessment and task as soon as possible, the second assessment after participation in the BAM program, and the third assessment and task eight weeks after BAM participation.</span></p> <p> </p> <p><em><u>Behavioral Tasks:</u></em></p> <p><span style=""font-weight: normal;""><em> </em></span></p> <p><span style=""font-weight: normal;""><em>Geometric Shapes and Stimulation Task.</em></span></p> <p><span style=""font-weight: normal;"">In this task, will see three shapes on a computer screen, and you will be asked to press a button indicating which shape you believe will help you earn points. Every once in a while, there will be presented with a negative body image that may provoke anxiety. This task will last ~40 minutes.</span></p> <p> </p> <p><span style=""font-weight: normal;""><em>Sorting Task.</em></span></p> <p><span style=""font-weight: normal;"">In this task, you will be asked to sort or categorize different faces and words into different groups. You will earn points based on your ability to do this quickly and accurately. This task will last ~20 minutes.</span></p> <p> </p> <p>Estimated number of participants: 40</p> <p> </p> <p><span style=""font-weight: normal;""><strong>How long will it take? </strong>Three check-ins lasting 80 minutes each (20 minutes for assessment and 60 minutes for the tasks)</span></p> <p> </p> <p>Protected health information (PHI) used in this study</p> <p><span style=""font-weight: normal;"">Protected health information, also called PHI, is information about your physical or mental health that includes your name or other information that can identify you, like your date of birth or medical record number. To do this study, we will use the following kinds of PHI:</span></p> <ul> <li style=""margin-left: 40.95pt; tab-stops: 40.95pt 41.0pt;""><span style=""font-weight: normal;"">Things you tell the researchers about your health</span></li> </ul> <p> </p> <p>Do I have to be in the study?</p> <p><span style=""font-weight: normal;"">No, you do not have to be in this study. Taking part in research is voluntary. This means that you decide if you want to be in the study. If you decide now to take part, you can choose to leave the study at any time. No matter what decision you make, and even if your decision changes, there will be no penalty to you.</span></p> <p> </p> <p><span style=""font-weight: normal;"">Let the researchers know if you choose to leave the study.</span></p> <p> </p> <p><span style=""font-weight: normal;"">Your authorization for researchers to use your protected health information (PHI) does not have an end date. However:</span></p> <ul> <li style=""margin-right: 37.55pt; tab-stops: 40.95pt 41.0pt;""><span style=""font-weight: normal;"">You can choose to take back your authorization for researchers to use your health You can do this at any time before or during your participation in the research.</span></li> <li style=""margin-right: 16.25pt; tab-stops: 40.95pt 41.0pt;""><span style=""font-weight: normal;"">If you take back your authorization, information that was already collected may still be used and shared with others, but the researchers will no longer be able to collect NEW information about</span></li> <li style=""margin-right: 35.75pt; tab-stops: 40.95pt 41.0pt;""><span style=""font-weight: normal;"">If you take back your authorization, you will not be able to take part in the research</span></li> <li style=""margin-right: 23.6pt; text-align: justify; line-height: 106%; tab-stops: 41.0pt;""><span style=""font-weight: normal;"">To take back your authorization, you will need to tell the researchers by writing to the Lead Researcher, Katherine Schaumberg, at 6001 Research Park Blvd. Madison, WI 53719-1176.</span></li> </ul> <p> </p> <p style=""text-align: justify;"">Will being in this study help me in any way?</p> <p><span style=""font-weight: normal;"">There will be no direct benefits to you from participation in this study; however, this will inform knowledge of whether the Body Advocacy Movement (BAM) program is effective in an online format. This knowledge may assist future participants in this program.</span></p> <p> </p> <p>What are the risks?</p> <p><span style=""font-weight: normal;"">Some questions and/or the tasks may be personal or upsetting. You can answer “N/A” or “Prefer not to answer” on any question or quit the survey or task at any time.</span></p> <p> </p> <p><span style=""font-weight: normal;"">There is a risk that your information could become known to someone not involved in this study. Anytime you share information online there are risks. We’re using a secure system to collect this data, but we can’t completely eliminate this risk.</span></p> <p> </p> <p><span style=""font-weight: normal;"">The questionnaires you will complete in this study ask about symptoms of emotional distress such as depression and anxiety. We are using the questionnaires only for research, not to diagnose mental health issues. We will not tell you the results. If you are experiencing emotional distress, you should contact your physician or other health care provider, such as a mental health professional.</span></p> <p> </p> <p><span style=""font-weight: normal;""><strong>Costs: </strong>This project will take ~80 min of your time at 3 time points</span></p> <p> </p> <p><span style=""font-weight: normal;""><strong>Compensation: </strong>You will receive a $20 Amazon Gift Card for completion of surveys and $20 Amazon gift card for completion of tasks for a total of $40 if all study portion are completed. Payment will be provided at the end of the study, after the completion of the 8-week post session questionnaires and/or tasks.</span></p> <p> </p> <p style=""margin-top: .05pt;""><span style=""font-weight: normal;"">How will researchers keep my research information confidential?</span></p> <p><span style=""font-weight: normal;"">We have strict rules to protect your personal information and protected health information (PHI). We will limit who has access to your name and other information that can identify you. We will also store this information securely. We may publish and present what we learn from this study, but none of this information will identify you directly without your permission.</span></p> <p> </p> <p><span style=""font-weight: normal;"">However, we cannot promise complete confidentiality. Federal or state laws may permit or require us to show information to university or government officials responsible for monitoring the safety of this study. We may also have to tell appropriate authorities, such as child protective services or health care providers, if we learn during the study that you or others are at risk of harm (for example, due to child or elder abuse, or suicidal thoughts).</span></p> <p> </p> <p><span style=""font-weight: normal;"">Authorizing the research team to use your PHI means that we can release it to the people or groups listed below for the purposes described in this form. Once your health information is released outside UW-Madison or UW Health it may not be protected by privacy laws and might be shared with others. Also, with appropriate institutional permissions and confidentiality protections, we might use information that we collect during this study for other research or share with other researchers without additional consent or authorization from you or your legally authorized representative.</span></p> <p> </p> <p style=""margin-top: 4.65pt;"">Who at UW-Madison can use my information?</p> <ul> <li style=""line-height: 13.45pt; tab-stops: 40.95pt 41.0pt; margin: 1.9pt 0in .0001pt 40.95pt;""><span style=""font-weight: normal;"">Members of the research team</span></li> <li style=""margin-left: 40.95pt; line-height: 13.45pt; tab-stops: 40.95pt 41.0pt;""><span style=""font-weight: normal;"">Offices and committees responsible for the oversight of research</span></li> </ul> <p style=""margin-left: 8.05pt;"">What if I have questions?</p> <p><span style=""font-weight: normal;"">If you have questions about this research or you feel you have been harmed by participating in this study, please contact the Lead Researcher, Katherine Schaumberg, Ph. D, at 608-263- 6109. If you have any questions about your rights as a research subject or have complaints about the research study or study team, contact UW Health Patient Relations at 608-263-8009. The Patient Relations Representatives work with research subjects to address concerns about research participation and assist in resolving problems.</span></p></div>",,,,,,,,,,,,,
moretext,consent_form,,descriptive,"<div class=""rich-text-field-label""><p>Please print or save this screen if you want to be able to access the information later.<br /><br />Agreement to Participate<br /><span style=""font-weight: normal;"">Your participation is completely voluntary, and you can withdraw at any time.</span><br /><span style=""font-weight: normal;"">To take this survey, you must be:</span><br /><span style=""font-weight: normal;"">· Between 18 and 30 Years old</span><br /><span style=""font-weight: normal;"">· Be willing to participate in BAM sessions</span></p></div>",,,,,,,,,,,,,
firstname,consent_form,,text,"First Name",,,,,,y,,y,,,,,
lastname,consent_form,,text,"Last Name",,,,,,y,,y,,,,,
sign,consent_form,,file,"If you agree to participate, please sign your full NAME",,,signature,,,y,,y,,,,,
texttext,consent_form,,descriptive,"<div class=""rich-text-field-label""><p>We are requesting your email address so we can send the survey link. Email is generally not a secure way to communicate about your health as there are many ways for unauthorized users to access email. You should avoid sending sensitive, detailed personal information by email. Email should also not be used to convey information of an urgent nature. If you need to talk to someone immediately, please contact Rachel Ahrenholtz at 608-265-5748. You do have to provide your email address to participate in this study.</p></div>",,,,,,,,,,,,,
consent_email,consent_form,,text,"email address ",,,,,,y,,y,,,,,
tex,consent_form,,descriptive,"You will receive a link to the first survey within the next 24 hours, which will include your unique study ID number. 
",,,,,,,,,,,,,
